SampleName,Season,Year,Day,Site,Zone,Species,Tissue,Replicate,Type,Transect,SampleNumber
F152_SCH_LO_FdR4,F,15,2,SCH,LO,Fd,R,4,Alga,2,118
F152_SCH_LO_FdR5,F,15,2,SCH,LO,Fd,R,5,Alga,2,119
F152_SCH_LO_FdR6,F,15,2,SCH,LO,Fd,R,6,Alga,2,120
F152_SCH_LO_FdV1,F,15,2,SCH,LO,Fd,V,1,Alga,1,121
F152_SCH_LO_FdV2,F,15,2,SCH,LO,Fd,V,2,Alga,1,122
F152_SCH_LO_FdV3,F,15,2,SCH,LO,Fd,V,3,Alga,1,123
F152_SCH_LO_FdV4,F,15,2,SCH,LO,Fd,V,4,Alga,2,124
F152_SCH_LO_FdV5,F,15,2,SCH,LO,Fd,V,5,Alga,2,125
F152_SCH_LO_FdV6,F,15,2,SCH,LO,Fd,V,6,Alga,2,126
F161_SCH_LO_FdH1,F,16,1,SCH,LO,Fd,H,1,Alga,1,190
F161_SCH_LO_FdH2,F,16,1,SCH,LO,Fd,H,2,Alga,1,191
F161_SCH_LO_FdH3,F,16,1,SCH,LO,Fd,H,3,Alga,1,192
F161_SCH_LO_FdH4,F,16,1,SCH,LO,Fd,H,4,Alga,2,193
F161_SCH_LO_FdH5,F,16,1,SCH,LO,Fd,H,5,Alga,2,194
F161_SCH_LO_FdH6,F,16,1,SCH,LO,Fd,H,6,Alga,2,195
F161_SCH_LO_FdR1,F,16,1,SCH,LO,Fd,R,1,Alga,1,196
F161_SCH_LO_FdR2,F,16,1,SCH,LO,Fd,R,2,Alga,1,197
F161_SCH_LO_FdR3,F,16,1,SCH,LO,Fd,R,3,Alga,1,198
F161_SCH_LO_FdR4,F,16,1,SCH,LO,Fd,R,4,Alga,2,199
F161_SCH_LO_FdR5,F,16,1,SCH,LO,Fd,R,5,Alga,2,200
F161_SCH_LO_FdR6,F,16,1,SCH,LO,Fd,R,6,Alga,2,201
F161_SCH_LO_FdV1,F,16,1,SCH,LO,Fd,V,1,Alga,1,202
F161_SCH_LO_FdV2,F,16,1,SCH,LO,Fd,V,2,Alga,1,203
F161_SCH_LO_FdV3,F,16,1,SCH,LO,Fd,V,3,Alga,1,204
F161_SCH_LO_FdV4,F,16,1,SCH,LO,Fd,V,4,Alga,2,205
F161_SCH_LO_FdV5,F,16,1,SCH,LO,Fd,V,5,Alga,2,206
F161_SCH_LO_FdV6,F,16,1,SCH,LO,Fd,V,6,Alga,2,207
F162_SCH_LO_FdH1,F,16,2,SCH,LO,Fd,H,1,Alga,1,272
F162_SCH_LO_FdH2,F,16,2,SCH,LO,Fd,H,2,Alga,1,273
F162_SCH_LO_FdH3,F,16,2,SCH,LO,Fd,H,3,Alga,1,274
F162_SCH_LO_FdH4,F,16,2,SCH,LO,Fd,H,4,Alga,2,275
F162_SCH_LO_FdH5,F,16,2,SCH,LO,Fd,H,5,Alga,2,276
F162_SCH_LO_FdH6,F,16,2,SCH,LO,Fd,H,6,Alga,2,277
F162_SCH_LO_FdR1,F,16,2,SCH,LO,Fd,R,1,Alga,1,278
F162_SCH_LO_FdR2,F,16,2,SCH,LO,Fd,R,2,Alga,1,279
F162_SCH_LO_FdR3,F,16,2,SCH,LO,Fd,R,3,Alga,1,280
F162_SCH_LO_FdR4,F,16,2,SCH,LO,Fd,R,4,Alga,2,281
F162_SCH_LO_FdR5,F,16,2,SCH,LO,Fd,R,5,Alga,2,282
F162_SCH_LO_FdR6,F,16,2,SCH,LO,Fd,R,6,Alga,2,283
F162_SCH_LO_FdV1,F,16,2,SCH,LO,Fd,V,1,Alga,1,284
F162_SCH_LO_FdV2,F,16,2,SCH,LO,Fd,V,2,Alga,1,285
F162_SCH_LO_FdV3,F,16,2,SCH,LO,Fd,V,3,Alga,1,286
F162_SCH_LO_FdV4,F,16,2,SCH,LO,Fd,V,4,Alga,2,287
F162_SCH_LO_FdV5,F,16,2,SCH,LO,Fd,V,5,Alga,2,288
F162_SCH_LO_FdV6,F,16,2,SCH,LO,Fd,V,6,Alga,2,289
S151_SCH_LO_FdH1,S,15,1,SCH,LO,Fd,H,1,Alga,1,525
S151_SCH_LO_FdH2,S,15,1,SCH,LO,Fd,H,2,Alga,1,526
S151_SCH_LO_FdH3,S,15,1,SCH,LO,Fd,H,3,Alga,1,527
S151_SCH_LO_FdH4,S,15,1,SCH,LO,Fd,H,4,Alga,2,528
S151_SCH_LO_FdH5,S,15,1,SCH,LO,Fd,H,5,Alga,2,529
S151_SCH_LO_FdH6,S,15,1,SCH,LO,Fd,H,6,Alga,2,530
S151_SCH_LO_FdR1,S,15,1,SCH,LO,Fd,R,1,Alga,1,531
S151_SCH_LO_FdR2,S,15,1,SCH,LO,Fd,R,2,Alga,1,532
S151_SCH_LO_FdR3,S,15,1,SCH,LO,Fd,R,3,Alga,1,533
S151_SCH_LO_FdR4,S,15,1,SCH,LO,Fd,R,4,Alga,2,534
S151_SCH_LO_FdR5,S,15,1,SCH,LO,Fd,R,5,Alga,2,535
S151_SCH_LO_FdR6,S,15,1,SCH,LO,Fd,R,6,Alga,2,536
S151_SCH_LO_FdV1,S,15,1,SCH,LO,Fd,V,1,Alga,1,537
S151_SCH_LO_FdV2,S,15,1,SCH,LO,Fd,V,2,Alga,1,538
S151_SCH_LO_FdV3,S,15,1,SCH,LO,Fd,V,3,Alga,1,539
S151_SCH_LO_FdV4,S,15,1,SCH,LO,Fd,V,4,Alga,2,540
S151_SCH_LO_FdV5,S,15,1,SCH,LO,Fd,V,5,Alga,2,541
S151_SCH_LO_FdV6,S,15,1,SCH,LO,Fd,V,6,Alga,2,542
S152_SCH_LO_FdH1,S,15,2,SCH,LO,Fd,H,1,Alga,1,916
S152_SCH_LO_FdH2,S,15,2,SCH,LO,Fd,H,2,Alga,1,917
S152_SCH_LO_FdH3,S,15,2,SCH,LO,Fd,H,3,Alga,1,918
S152_SCH_LO_FdH4,S,15,2,SCH,LO,Fd,H,4,Alga,2,919
S152_SCH_LO_FdH5,S,15,2,SCH,LO,Fd,H,5,Alga,2,920
S152_SCH_LO_FdH6,S,15,2,SCH,LO,Fd,H,6,Alga,2,921
S152_SCH_LO_FdR1,S,15,2,SCH,LO,Fd,R,1,Alga,1,922
S152_SCH_LO_FdR2,S,15,2,SCH,LO,Fd,R,2,Alga,1,923
S152_SCH_LO_FdR3,S,15,2,SCH,LO,Fd,R,3,Alga,1,924
S152_SCH_LO_FdR4,S,15,2,SCH,LO,Fd,R,4,Alga,2,925
S152_SCH_LO_FdR5,S,15,2,SCH,LO,Fd,R,5,Alga,2,926
S152_SCH_LO_FdR6,S,15,2,SCH,LO,Fd,R,6,Alga,2,927
S152_SCH_LO_FdV1,S,15,2,SCH,LO,Fd,V,1,Alga,1,928
S152_SCH_LO_FdV2,S,15,2,SCH,LO,Fd,V,2,Alga,1,929
S152_SCH_LO_FdV3,S,15,2,SCH,LO,Fd,V,3,Alga,1,930
S152_SCH_LO_FdV4,S,15,2,SCH,LO,Fd,V,4,Alga,2,931
S152_SCH_LO_FdV5,S,15,2,SCH,LO,Fd,V,5,Alga,2,932
S152_SCH_LO_FdV6,S,15,2,SCH,LO,Fd,V,6,Alga,2,933
S161_SCH_LO_FdH1,S,16,1,SCH,LO,Fd,H,1,Alga,1,1306
S161_SCH_LO_FdH2,S,16,1,SCH,LO,Fd,H,2,Alga,1,1307
S161_SCH_LO_FdH3,S,16,1,SCH,LO,Fd,H,3,Alga,1,1308
S161_SCH_LO_FdH4,S,16,1,SCH,LO,Fd,H,4,Alga,2,1309
S161_SCH_LO_FdH5,S,16,1,SCH,LO,Fd,H,5,Alga,2,1310
S161_SCH_LO_FdH6,S,16,1,SCH,LO,Fd,H,6,Alga,2,1311
S161_SCH_LO_FdR1,S,16,1,SCH,LO,Fd,R,1,Alga,1,1312
S161_SCH_LO_FdR2,S,16,1,SCH,LO,Fd,R,2,Alga,1,1313
S161_SCH_LO_FdR3,S,16,1,SCH,LO,Fd,R,3,Alga,1,1314
S161_SCH_LO_FdR4,S,16,1,SCH,LO,Fd,R,4,Alga,2,1315
S161_SCH_LO_FdR5,S,16,1,SCH,LO,Fd,R,5,Alga,2,1316
S161_SCH_LO_FdR6,S,16,1,SCH,LO,Fd,R,6,Alga,2,1317
S161_SCH_LO_FdV1,S,16,1,SCH,LO,Fd,V,1,Alga,1,1318
S161_SCH_LO_FdV2,S,16,1,SCH,LO,Fd,V,2,Alga,1,1319
S161_SCH_LO_FdV3,S,16,1,SCH,LO,Fd,V,3,Alga,1,1320
S161_SCH_LO_FdV4,S,16,1,SCH,LO,Fd,V,4,Alga,2,1321
S161_SCH_LO_FdV5,S,16,1,SCH,LO,Fd,V,5,Alga,2,1322
S161_SCH_LO_FdV6,S,16,1,SCH,LO,Fd,V,6,Alga,2,1323
S162_SCH_LO_FdH1,S,16,2,SCH,LO,Fd,H,1,Alga,1,1571
S162_SCH_LO_FdH2,S,16,2,SCH,LO,Fd,H,2,Alga,1,1572
S162_SCH_LO_FdH3,S,16,2,SCH,LO,Fd,H,3,Alga,1,1573
S162_SCH_LO_FdH4,S,16,2,SCH,LO,Fd,H,4,Alga,2,1574
S162_SCH_LO_FdH5,S,16,2,SCH,LO,Fd,H,5,Alga,2,1575
S162_SCH_LO_FdH6,S,16,2,SCH,LO,Fd,H,6,Alga,2,1576
S162_SCH_LO_FdR1,S,16,2,SCH,LO,Fd,R,1,Alga,1,1577
S162_SCH_LO_FdR2,S,16,2,SCH,LO,Fd,R,2,Alga,1,1578
S162_SCH_LO_FdR3,S,16,2,SCH,LO,Fd,R,3,Alga,1,1579
S162_SCH_LO_FdR4,S,16,2,SCH,LO,Fd,R,4,Alga,2,1580
S162_SCH_LO_FdR5,S,16,2,SCH,LO,Fd,R,5,Alga,2,1581
S162_SCH_LO_FdR6,S,16,2,SCH,LO,Fd,R,6,Alga,2,1582
S162_SCH_LO_FdV1,S,16,2,SCH,LO,Fd,V,1,Alga,1,1583
S162_SCH_LO_FdV2,S,16,2,SCH,LO,Fd,V,2,Alga,1,1584
S162_SCH_LO_FdV3,S,16,2,SCH,LO,Fd,V,3,Alga,1,1585
S162_SCH_LO_FdV4,S,16,2,SCH,LO,Fd,V,4,Alga,2,1586
S162_SCH_LO_FdV5,S,16,2,SCH,LO,Fd,V,5,Alga,2,1587
S162_SCH_LO_FdV6,S,16,2,SCH,LO,Fd,V,6,Alga,2,1588
F161_SCH_HI_A_0_2filter,F,16,1,SCH,HI,filter,NA,1,0.2filter,1,156
F161_SCH_HI_B_0_2filter,F,16,1,SCH,HI,filter,NA,1,0.2filter,2,157
F162_SCH_HI_A_0_2filter,F,16,2,SCH,HI,filter,NA,1,0.2filter,1,239
F162_SCH_HI_B_0_2filter,F,16,2,SCH,HI,filter,NA,1,0.2filter,2,240
S152_SCH_AHi_0_2mic,S,15,2,SCH,HI,filter,NA,1,0.2filter,1,880
S152_SCH_BHi_0_2mic,S,15,2,SCH,HI,filter,NA,1,0.2filter,2,883
S161_SCH_0_2mic_AHI,S,16,1,SCH,HI,filter,NA,1,0.2filter,1,1273
S161_SCH_0_2mic_BHI,S,16,1,SCH,HI,filter,NA,1,0.2filter,2,1275
S162_SCH_0_2mic_AHI,S,16,2,SCH,HI,filter,NA,1,0.2filter,1,1536
S162_SCH_0_2mic_BHI,S,16,2,SCH,HI,filter,NA,1,0.2filter,2,1539
F161_SCH_LO_A_0_2filter,F,16,1,SCH,LO,filter,NA,1,0.2filter,1,188
F161_SCH_LO_B_0_2filter,F,16,1,SCH,LO,filter,NA,1,0.2filter,2,189
F162_SCH_LO_A_0_2filter,F,16,2,SCH,LO,filter,NA,1,0.2filter,1,270
F162_SCH_LO_B_0_2filter,F,16,2,SCH,LO,filter,NA,1,0.2filter,2,271
S152_SCH_ALo_0_2mic,S,15,2,SCH,LO,filter,NA,1,0.2filter,1,881
S152_SCH_BLo_0_2mic,S,15,2,SCH,LO,filter,NA,1,0.2filter,2,884
S162_SCH_0_2mic_ALO,S,16,2,SCH,LO,filter,NA,1,0.2filter,1,1537
S162_SCH_0_2mic_BLO,S,16,2,SCH,LO,filter,NA,1,0.2filter,2,1540
F161_SCH_MID_A_0_2filter,F,16,1,SCH,MID,filter,NA,1,0.2filter,1,208
F161_SCH_MID_B_0_2filter,F,16,1,SCH,MID,filter,NA,1,0.2filter,1,209
F162_SCH_MID_A_0_2filter,F,16,2,SCH,MID,filter,NA,1,0.2filter,1,290
F162_SCH_MID_B_0_2filter,F,16,2,SCH,MID,filter,NA,1,0.2filter,2,291
S152_SCH_AMid_0_2mic,S,15,2,SCH,MID,filter,NA,1,0.2filter,1,882
S152_SCH_BMid_0_2mic,S,15,2,SCH,MID,filter,NA,1,0.2filter,2,885
S161_SCH_0_2mic_AMID,S,16,1,SCH,MID,filter,NA,1,0.2filter,1,1274
S162_SCH_0_2mic_AMID,S,16,2,SCH,MID,filter,NA,1,0.2filter,1,1538
S162_SCH_0_2mic_BMID,S,16,2,SCH,MID,filter,NA,1,0.2filter,2,1541
S151_Avei_0_2micB,S,15,1,Avei,,filter,NA,1,0.2filter,2,329
S151_Beau_TrA_0_2mic,S,15,1,Beau,,filter,NA,1,0.2filter,1,343
S151_Beau_TrB_0_2mic,S,15,1,Beau,,filter,NA,1,0.2filter,2,344
S151_Bodo_Tr1_0_2mic,S,15,1,Bodo,,filter,NA,1,0.2filter,1,379
S151_Bodo_Tr2_0_2mic,S,15,1,Bodo,,filter,NA,1,0.2filter,1,380
S151_Faro_0_2micA,S,15,1,Faro,,filter,NA,1,0.2filter,1,398
S151_Faro_0_2micB,S,15,1,Faro,,filter,NA,1,0.2filter,1,399
S151_Faro_5_0micA,S,15,1,Faro,,filter,NA,1,5.0filter,1,400
S151_Faro_5_0micB,S,15,1,Faro,,filter,NA,1,5.0filter,1,401
S151_Hali_TraB_0_2mic,S,15,1,Hali,,filter,NA,1,0.2filter,2,421
S151_Lew_Tr1_0_2mic,S,15,1,Lew,,filter,NA,1,0.2filter,1,440
S151_Lew_Tr2_0_2mic,S,15,1,Lew,,filter,NA,1,0.2filter,2,441
S151_Lima_0_2micA,S,15,1,Lima,,filter,NA,1,0.2filter,1,442
S151_Lima_5_0micA,S,15,1,Lima,,filter,NA,1,5.0filter,1,443
S151_Oban_AFves_0_2mic,S,15,1,Oban,,filter,NA,1,0.2filter,1,462
S151_Oban_APum_0_2mic,S,15,1,Oban,,filter,NA,2,0.2filter,1,463
S151_SB_0_2micA,S,15,1,SB,,filter,NA,1,0.2filter,1,491
S151_SB_0_2micB,S,15,1,SB,,filter,NA,1,0.2filter,2,492
S151_SB_7_0micA,S,15,1,SB,,filter,NA,1,7.0filter,1,493
S151_SB_7_0micB,S,15,1,SB,,filter,NA,1,7.0filter,2,494
S151_Sid_AFves_0_2mic,S,15,1,Sid,,filter,NA,1,0.2filter,1,590
S151_Tagus_0_2micA,S,15,1,Tagus,,filter,NA,1,0.2filter,1,607
S151_Tagus_0_2micB,S,15,1,Tagus,,filter,NA,1,0.2filter,2,608
S151_Tagus_5_0micA,S,15,1,Tagus,,filter,NA,1,5.0filter,1,609
S151_Tagus_5_0micB,S,15,1,Tagus,,filter,NA,1,5.0filter,2,610
S151_Viana_0_2micB,S,15,1,Viana,,filter,NA,1,0.2filter,2,665
S151_Viana_5_0micA,S,15,1,Viana,,filter,NA,1,5.0filter,1,666
S151_Viana_A_5_0mic,S,15,1,Viana,,filter,NA,2,5.0filter,1,667
S151_Viana_B_5_0mic,S,15,1,Viana,,filter,NA,1,5.0filter,2,668
S151_WH_TrA_0_2mic,S,15,1,WH,,filter,NA,1,0.2filter,1,708
S151_WH_TrB_0_2mic,S,15,1,WH,,filter,NA,1,0.2filter,2,709
S152_Avei_0_2micA,S,15,2,Avei,,filter,NA,1,0.2filter,1,722
S152_Avei_5_0micB,S,15,2,Avei,,filter,NA,1,5.0filter,2,723
S152_Beau_TrA_0_2mic,S,15,2,Beau,,filter,NA,1,0.2filter,1,738
S152_Beau_TrB_0_2mic,S,15,2,Beau,,filter,NA,1,0.2filter,2,739
S152_Bodo_Tr10_2mic,S,15,2,Bodo,,filter,NA,1,0.2filter,1,774
S152_Bodo_Tr2_0_2mic,S,15,2,Bodo,,filter,NA,1,0.2filter,2,775
S152_Cad_0_2micA,S,15,2,Cad,,filter,NA,1,0.2filter,1,776
S152_Cad_0_2micB,S,15,2,Cad,,filter,NA,1,0.2filter,2,777
S152_Cad_5_0micA,S,15,2,Cad,,filter,NA,1,5.0filter,1,778
S152_Cad_5_0micB,S,15,2,Cad,,filter,NA,1,5.0filter,2,779
S152_Faro_0_2micA,S,15,2,Faro,,filter,NA,1,0.2filter,1,800
S152_Faro_5_0micB,S,15,2,Faro,,filter,NA,1,5.0filter,2,801
S152_Hali_TraB_0_2mic,S,15,2,Hali,,filter,NA,1,0.2filter,2,821
S152_Lew_Tr1_0_2mic,S,15,2,Lew,,filter,NA,1,0.2filter,1,842
S152_Lew_Tr2_0_2mic,S,15,2,Lew,,filter,NA,1,0.2filter,2,843
S152_Lima_0_2micB,S,15,2,Lima,,filter,NA,1,0.2filter,2,844
S152_Lima_5_0micB,S,15,2,Lima,,filter,NA,1,5.0filter,2,845
S152_Oban_AFves_0_2mic,S,15,2,Oban,,filter,NA,1,0.2filter,1,846
S152_Oban_APum_0_2mic,S,15,2,Oban,,filter,NA,2,0.2filter,1,847
S152_Sid_APum_0_2mic,S,15,2,Sid,,filter,NA,1,0.2filter,1,963
S152_Sid_FVes_0_2mic,S,15,2,Sid,,filter,NA,2,0.2filter,1,964
S152_Tagus_0_2micA,S,15,2,Tagus,,filter,NA,1,0.2filter,1,997
S152_Tagus_0_2micB,S,15,2,Tagus,,filter,NA,1,0.2filter,2,998
S152_Tagus_5_0micA,S,15,2,Tagus,,filter,NA,1,5.0filter,1,999
S152_Viana_A_0_2mic,S,15,2,Viana,,filter,NA,1,0.2filter,1,1036
S152_Viana_A_5_0mic,S,15,2,Viana,,filter,NA,1,5.0filter,1,1037
S152_Viana_B_0_2mic,S,15,2,Viana,,filter,NA,1,0.2filter,2,1038
S152_Viana_B_5_0mic,S,15,2,Viana,,filter,NA,1,5.0filter,2,1039
S152_WH_TrA_0_2mic,S,15,2,WH,,filter,NA,1,0.2mic,1,1075
S152_WH_TrB_0_2mic,S,15,2,WH,,filter,NA,1,0.2mic,2,1076
S161_Beau_A_0_2filter,S,16,1,Beau,,filter,NA,1,0.2filter,1,1089
S161_Beau_B_0_2filter,S,16,1,Beau,,filter,NA,1,0.2filter,2,1090
S161_Cad_A_0_2filter,S,16,1,Cad,,filter,NA,1,0.2filter,1,1128
S161_Cad_B_0_2filter,S,16,1,Cad,,filter,NA,1,0.2filter,2,1129
S161_Lew_A_0_2filter,S,16,1,Lew,,filter,NA,1,0.2filter,1,1176
S161_Lew_B_0_2filter,S,16,1,Lew,,filter,NA,1,0.2filter,2,1177
S161_Newp_A_0_2filter,S,16,1,Newp,,filter,NA,1,0.2filter,1,1224
S161_Newp_B_0_2filter,S,16,1,Newp,,filter,NA,1,0.2filter,2,1225
S161_Oban_A_0_1filter,S,16,1,Oban,,filter,NA,1,0.1filter,1,1243
S161_Oban_B_0_1filter,S,16,1,Oban,,filter,NA,1,0.1filter,2,1244
S161_Viana_A_0_2filter,S,16,1,Viana,,filter,NA,1,0.2filter,1,1354
S161_Viana_B_0_2filter,S,16,1,Viana,,filter,NA,1,0.2filter,2,1355
S162_Beau_A_0_2filter,S,16,2,Beau,,filter,NA,1,0.2filter,1,1384
S162_Beau_B_0_2filter,S,16,2,Beau,,filter,NA,1,0.2filter,2,1385
S162_Cad_A_0_2filter,S,16,2,Cad,,filter,NA,1,0.2filter,1,1424
S162_Cad_B_0_2filter,S,16,2,Cad,,filter,NA,1,0.2filter,2,1425
S162_Lew_A_0_2filter,S,16,2,Lew,,filter,NA,1,0.2filter,1,1441
S162_Lew_B_0_2filter,S,16,2,Lew,,filter,NA,1,0.2filter,2,1442
S162_Mine_A_0_2filter,S,16,2,Mine,,filter,NA,1,0.2filter,1,1457
S162_Mine_B_0_2filter,S,16,2,Mine,,filter,NA,1,0.2filter,2,1458
S162_Newp_A_0_2filter,S,16,2,Newp,,filter,NA,1,0.2filter,1,1488
S162_Newp_B_0_2filter,S,16,2,Newp,,filter,NA,1,0.2filter,2,1489
S162_Oban_A_0_2filter,S,16,2,Oban,,filter,NA,1,0.2filter,1,1508
S162_Oban_B_0_2filter,S,16,2,Oban,,filter,NA,1,0.2filter,2,1509
S162_Viana_A_0_2filter,S,16,2,Viana,,filter,NA,1,0.2filter,1,1619
S162_Viana_B_0_2filter,S,16,2,Viana,,filter,NA,1,0.2filter,2,1620
F151_SCH_HI_FsH1,F,15,1,SCH,HI,Fs,H,1,Alga,1,1
F151_SCH_HI_FsH2,F,15,1,SCH,HI,Fs,H,2,Alga,1,2
F151_SCH_HI_FsH3,F,15,1,SCH,HI,Fs,H,3,Alga,1,3
F151_SCH_HI_FsH4,F,15,1,SCH,HI,Fs,H,4,Alga,2,4
F151_SCH_HI_FsH5,F,15,1,SCH,HI,Fs,H,5,Alga,2,5
F151_SCH_HI_FsH6,F,15,1,SCH,HI,Fs,H,6,Alga,2,6
F151_SCH_HI_FsR1,F,15,1,SCH,HI,Fs,R,1,Alga,1,7
F151_SCH_HI_FsR2,F,15,1,SCH,HI,Fs,R,2,Alga,1,8
F151_SCH_HI_FsR3,F,15,1,SCH,HI,Fs,R,3,Alga,1,9
F151_SCH_HI_FsR4,F,15,1,SCH,HI,Fs,R,4,Alga,2,10
F151_SCH_HI_FsR5,F,15,1,SCH,HI,Fs,R,5,Alga,2,11
F151_SCH_HI_FsR6,F,15,1,SCH,HI,Fs,R,6,Alga,2,12
F151_SCH_HI_FsV1,F,15,1,SCH,HI,Fs,V,1,Alga,1,13
F151_SCH_HI_FsV2,F,15,1,SCH,HI,Fs,V,2,Alga,1,14
F151_SCH_HI_FsV3,F,15,1,SCH,HI,Fs,V,3,Alga,1,15
F151_SCH_HI_FsV4,F,15,1,SCH,HI,Fs,V,4,Alga,2,16
F151_SCH_HI_FsV5,F,15,1,SCH,HI,Fs,V,5,Alga,2,17
F151_SCH_HI_FsV6,F,15,1,SCH,HI,Fs,V,6,Alga,2,18
F152_SCH_HI_FsH1,F,15,2,SCH,HI,Fs,H,1,Alga,1,79
F152_SCH_HI_FsH2,F,15,2,SCH,HI,Fs,H,2,Alga,1,80
F152_SCH_HI_FsH3,F,15,2,SCH,HI,Fs,H,3,Alga,1,81
F152_SCH_HI_FsH4,F,15,2,SCH,HI,Fs,H,4,Alga,2,82
F152_SCH_HI_FsH5,F,15,2,SCH,HI,Fs,H,5,Alga,2,83
F152_SCH_HI_FsH6,F,15,2,SCH,HI,Fs,H,6,Alga,2,84
F152_SCH_HI_FsR1,F,15,2,SCH,HI,Fs,R,1,Alga,1,85
F152_SCH_HI_FsR2,F,15,2,SCH,HI,Fs,R,2,Alga,1,86
F152_SCH_HI_FsR3,F,15,2,SCH,HI,Fs,R,3,Alga,1,87
F152_SCH_HI_FsR4,F,15,2,SCH,HI,Fs,R,4,Alga,2,88
F152_SCH_HI_FsR5,F,15,2,SCH,HI,Fs,R,5,Alga,2,89
F152_SCH_HI_FsR6,F,15,2,SCH,HI,Fs,R,6,Alga,2,90
F152_SCH_HI_FsV1,F,15,2,SCH,HI,Fs,V,1,Alga,1,91
F152_SCH_HI_FsV2,F,15,2,SCH,HI,Fs,V,2,Alga,1,92
F152_SCH_HI_FsV3,F,15,2,SCH,HI,Fs,V,3,Alga,1,93
F152_SCH_HI_FsV4,F,15,2,SCH,HI,Fs,V,4,Alga,2,94
F152_SCH_HI_FsV5,F,15,2,SCH,HI,Fs,V,5,Alga,2,95
F152_SCH_HI_FsV6,F,15,2,SCH,HI,Fs,V,6,Alga,2,96
F161_SCH_HI_FsH1,F,16,1,SCH,HI,Fs,H,1,Alga,1,158
F161_SCH_HI_FsH2,F,16,1,SCH,HI,Fs,H,2,Alga,1,159
F161_SCH_HI_FsH3,F,16,1,SCH,HI,Fs,H,3,Alga,1,160
F161_SCH_HI_FsH4,F,16,1,SCH,HI,Fs,H,4,Alga,2,161
F161_SCH_HI_FsH5,F,16,1,SCH,HI,Fs,H,5,Alga,2,162
F161_SCH_HI_FsH6,F,16,1,SCH,HI,Fs,H,6,Alga,2,163
F161_SCH_HI_FsR1,F,16,1,SCH,HI,Fs,R,1,Alga,1,164
F161_SCH_HI_FsR2,F,16,1,SCH,HI,Fs,R,2,Alga,1,165
F161_SCH_HI_FsR3,F,16,1,SCH,HI,Fs,R,3,Alga,1,166
F161_SCH_HI_FsR4,F,16,1,SCH,HI,Fs,R,4,Alga,2,167
F161_SCH_HI_FsR5,F,16,1,SCH,HI,Fs,R,5,Alga,2,168
F161_SCH_HI_FsR6,F,16,1,SCH,HI,Fs,R,6,Alga,2,169
F161_SCH_HI_FsV1,F,16,1,SCH,HI,Fs,V,1,Alga,1,170
F161_SCH_HI_FsV2,F,16,1,SCH,HI,Fs,V,2,Alga,1,171
F161_SCH_HI_FsV3,F,16,1,SCH,HI,Fs,V,3,Alga,1,172
F161_SCH_HI_FsV4,F,16,1,SCH,HI,Fs,V,4,Alga,2,173
F161_SCH_HI_FsV5,F,16,1,SCH,HI,Fs,V,5,Alga,2,174
